A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
1,22.080,11.46,2,4,4,1.585,0,0,0,1,2,100,1213,0
0,22.670,7,2,8,4,0.165,0,0,0,0,2,160,1,0
0,29.580,1.75,1,4,4,1.25,0,0,0,1,2,280,1,0
0,21.670,11.5,1,5,3,0,1,1,11,1,2,0,1,1
1,20.170,8.17,2,6,4,1.96,1,1,14,0,2,60,159,1
0,15.830,0.585,2,8,8,1.5,1,1,2,0,2,100,1,1
1,17.420,6.5,2,3,4,0.125,0,0,0,0,2,60,101,0
0,58.670,4.46,2,11,8,3.04,1,1,6,0,2,43,561,1
1,27.830,1,1,2,8,3,0,0,0,0,2,176,538,0
0,55.750,7.08,2,4,8,6.75,1,1,3,1,2,100,51,0
1,33.500,1.75,2,14,8,4.5,1,1,4,1,2,253,858,1
1,41.420,5,2,11,8,5,1,1,6,1,2,470,1,1
1,20.670,1.25,1,8,8,1.375,1,1,3,1,2,140,211,0
1,34.920,5,2,14,8,7.5,1,1,6,1,2,0,1001,1
1,58.580,2.71,2,8,4,2.415,0,0,0,1,2,320,1,0
1,48.080,6.04,2,4,4,0.04,0,0,0,0,2,0,2691,1
1,29.580,4.5,2,9,4,7.5,1,1,2,1,2,330,1,1
0,18.920,9,2,6,4,0.75,1,1,2,0,2,88,592,1
1,20.000,1.25,1,4,4,0.125,0,0,0,0,2,140,5,0
0,22.420,5.665,2,11,4,2.585,1,1,7,0,2,129,3258,1
0,28.170,0.585,2,6,4,0.04,0,0,0,0,2,260,1005,0
0,19.170,0.585,1,6,4,0.585,1,0,0,1,2,160,1,0
1,41.170,1.335,2,2,4,0.165,0,0,0,0,2,168,1,0
1,41.580,1.75,2,4,4,0.21,1,0,0,0,2,160,1,0
1,19.500,9.585,2,6,4,0.79,0,0,0,0,2,80,351,0
1,32.750,1.5,2,13,8,5.5,1,1,3,1,2,0,1,1
1,22.500,0.125,1,4,4,0.125,0,0,0,0,2,200,71,0
1,33.170,3.04,1,8,8,2.04,1,1,1,1,2,180,18028,1
0,30.670,12,2,8,4,2,1,1,1,0,2,220,20,1
1,23.080,2.5,2,8,4,1.085,1,1,11,1,2,60,2185,1
1,27.000,0.75,2,8,8,4.25,1,1,3,1,2,312,151,1
0,20.420,10.5,1,14,8,0,0,0,0,1,2,154,33,0
1,52.330,1.375,1,8,8,9.46,1,0,0,1,2,200,101,0
1,23.080,11.5,2,9,8,2.125,1,1,11,1,2,290,285,1
1,42.830,1.25,2,7,4,13.875,0,1,1,1,2,352,113,0
1,74.830,19,1,1,1,0.04,0,1,2,0,2,0,352,0
1,25.000,12.5,2,6,4,3,1,0,0,1,1,20,1,1
